AngleRoll,AnglePitch,Tempo
-11.790273,73.164787,32620
-14.326020,70.979279,32639
-19.382254,66.925652,32664
-28.681423,57.344196,32686
-25.724482,60.241512,32703
-18.527946,67.346199,32721
-14.050601,71.723709,32739
-14.432666,71.256348,32775
-22.709835,63.762436,32798
-27.067724,60.911884,32828
-21.154781,66.787407,32855
-28.678162,59.485699,32877
-14.485496,70.514671,32907
-23.922277,63.124844,32924
-31.926359,55.435329,32942
-29.693991,56.697807,32962
-29.485888,57.000031,32977
-29.626848,56.272583,33007
-30.503347,55.318516,33025
-23.468973,64.824837,33043
-28.465706,57.667522,33066
-40.253338,37.653515,33079
-46.784874,29.437653,33098
-42.243065,37.559109,33116
-40.753647,38.330956,33135
-42.361240,39.186932,33152
-41.849216,37.692974,33176
-45.901203,31.635448,33196
-41.630581,35.906979,33207
-40.524929,38.474308,33229
-41.998642,37.545052,33247
-41.227951,38.944180,33271
-43.674274,36.637459,33302
-41.401947,36.428230,33320
-43.277439,37.049011,33338
-40.795883,37.020447,33356
-41.877560,37.314602,33379
-43.076939,36.758678,33400
-41.674789,36.654362,33415
-41.437729,37.380127,33428
-42.042568,37.394436,33446
-41.708599,37.498489,33479
-42.193985,37.396557,33506
-41.010296,37.604855,33524
-42.698784,36.476746,33542
-42.429783,36.519241,33560
-42.069778,36.830544,33596
-41.277786,37.671894,33621
-42.072678,37.799755,33638
-41.151588,37.970165,33656
-40.913799,38.070133,33679
-42.381958,36.534519,33705
-42.409061,36.182301,33722
-42.867245,36.182163,33739
-42.367245,36.945194,33757
-41.575947,37.102047,33782
-41.364567,37.560432,33794
-41.597694,37.754841,33814
-41.190540,37.937714,33829
-41.118355,37.911247,33846
-42.063484,37.020721,33864
-42.280655,36.611881,33888
-42.793625,36.181316,33900
-42.515598,36.844479,33930
-42.030338,37.138069,33948
-41.354988,37.473186,33967
-41.510742,37.545830,33990
-41.897350,37.374329,34004
-41.347218,37.382507,34030
-41.987629,36.715443,34049
-42.958668,35.952087,34067
-42.778625,36.094006,34089
-42.417374,37.071117,34103
-41.667362,37.530167,34127
-41.136803,38.208668,34139
-41.574760,38.151073,34156
-41.670815,38.040440,34174
-41.382397,37.614017,34199
-42.554115,36.799263,34211
-42.212162,36.537777,34229
-42.400120,36.544300,34248
-42.504478,36.748379,34266
-42.100197,37.182419,34289
-41.628906,37.116989,34310
-42.101727,37.136604,34333
-41.857334,37.182869,34356
-41.571213,37.385437,34369
-41.881599,37.376850,34396
-42.399010,36.611748,34432
-42.593987,36.466976,34447
-42.548885,36.740372,34467
-41.779457,37.178146,34482
-41.943611,37.330879,34513
-41.627556,37.377144,34542
-42.313862,36.777718,34560
-42.220478,36.522705,34581
-42.528938,36.353867,34603
-42.391747,36.994049,34634
-41.708000,36.874836,34668
-42.051899,37.154163,34705
-41.582928,37.257908,34739
-41.795757,36.979935,34766
-42.146076,36.738724,34782
-42.079090,37.096634,34807
-41.359463,37.470634,34843
-41.780838,37.133286,34913
-41.891972,36.849045,34941
-42.068329,36.930344,34978
-42.112438,36.831059,35012
-42.031898,37.191437,35061
-42.038559,37.066181,35079
-41.973919,37.036499,35097
-42.102985,36.722931,35146
-41.824730,37.173775,35164
-42.158657,36.863010,35183
-42.068039,37.160835,35215
-41.946114,37.152985,35230
-42.254494,36.709747,35266
-42.012981,36.873428,35284
-42.419437,36.601673,35297
-41.864632,37.330563,35320
-42.265305,36.865845,35354
-41.967850,36.944096,35379
-42.368309,36.799244,35403
-42.170334,36.812931,35422
-42.287247,36.827457,35439
-42.275921,36.946327,35458
-42.090553,36.820309,35475
-42.009445,36.991219,35493
-42.501209,36.660839,35518
-41.965115,37.086689,35529
-42.213058,36.820854,35556
-42.234692,37.106590,35566
-42.004135,36.852226,35583
-41.897736,37.056404,35605
-42.073902,37.017284,38346
-42.745529,36.329884,38374
-42.071239,37.278702,38407
-42.193779,36.821823,38437
-42.520885,36.492172,38466
-41.982311,36.905605,38492
-42.086403,36.919529,38524
-42.038963,36.794930,38542
-41.938824,36.697163,38562
-42.613304,36.512539,38579
-42.926521,36.158535,38601
-42.812481,36.297413,38628
-42.076557,36.548153,38645
-41.355469,38.168297,38664
-38.417389,40.325176,38697
-37.924896,41.342869,38712
-41.293056,38.290531,38746
-42.497986,36.992645,38762
-43.471729,35.861187,38778
-42.767082,36.037651,38799
-42.126427,35.856342,38831
-41.151432,38.344185,38856
-38.917492,39.953583,38874
-39.046154,40.384277,38892
-39.479950,39.878494,38912
-40.113098,39.022999,38936
-42.486923,37.453568,38958
-42.343884,36.550816,38976
-42.470051,35.943108,39000
-42.936687,36.244717,39021
-40.785778,38.572575,39052
-39.960682,39.526894,39069
-39.062946,39.986877,39090
-39.608894,39.373028,39109
-41.110832,38.623905,39123
